2.0162609,5,5.0794
1.8434434,5,3.6516
2.4931678,6,8.1858
2.5382005,6,9.2393
2.1824431,6,6.3163
2.2643844,6,6.8781
1.7656985,3.4206
1.827978,3.8042
1.6518833,2.7003
1.3616119,1.4341
1.4436211,1.8528
2.4232408,8.096
2.4745617,8.7996
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
2.0250096,4.8964
NaN,NaN
NaN,NaN
1.3982841,1.7342
NaN,NaN
4.9535634,41.672
NaN,NaN
NaN,NaN
2.3740655,7.3611
2.1212149,5.4472
1.666648,2.9078
3.4395321,17.94
1.768265,3.3461
1.9113695,4.1816
2.5109572,8.3793
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
2.5203511,8.4879
NaN,NaN
1.236,1.2734
NaN,NaN
